,candidate,Senate_votes,total_votes,Biden_votes,senatePRC,bidenPRC,difference
"Alabama, Autauga County",Doug Jones,8277,27707,7503,29.87331721,27.07979933,-2.793517884
"Alabama, Baldwin County",Doug Jones,28925,109350,24578,26.4517604,22.47645176,-3.975308642
"Alabama, Barbour County",Doug Jones,5021,10479,4816,47.91487737,45.95858383,-1.956293539
"Alabama, Bibb County",Doug Jones,2244,9581,1986,23.42135476,20.72852521,-2.692829559
"Alabama, Blount County",Doug Jones,3290,27506,2640,11.96102669,9.597905911,-2.363120774
"Alabama, Butler County",Doug Jones,4193,9436,3965,44.43620178,42.0199237,-2.416278084
"Alabama, Calhoun County",Doug Jones,16808,50821,15216,33.07294229,29.94037898,-3.13256331
"Alabama, Chambers County",Doug Jones,6908,15234,6365,45.34593672,41.78154129,-3.564395431
"Alabama, Cherokee County",Doug Jones,2112,12251,1624,17.23940903,13.25606073,-3.983348298
"Alabama, Chilton County",Doug Jones,3499,19229,3073,18.19647408,15.98107026,-2.215403817
"Alabama, Choctaw County",Doug Jones,3225,7416,3127,43.48705502,42.16558792,-1.321467098
"Alabama, Clarke County",Doug Jones,6017,13087,5755,45.97692366,43.97493696,-2.001986704
"Alabama, Clay County",Doug Jones,1441,6903,1267,20.87498189,18.35433869,-2.520643199
"Alabama, Cleburne County",Doug Jones,843,7169,675,11.7589622,9.415539127,-2.343423072
"Alabama, Coffee County",Doug Jones,5753,22178,5076,25.94012084,22.88754622,-3.052574624
"Alabama, Colbert County",Doug Jones,9408,27781,8343,33.86487167,30.03131637,-3.833555308
"Alabama, Conecuh County",Doug Jones,3098,6396,2966,48.43652283,46.37273296,-2.063789869
"Alabama, Coosa County",Doug Jones,1899,5467,1796,34.73568685,32.85165539,-1.884031461
"Alabama, Covington County",Doug Jones,3214,17353,2721,18.52129315,15.68028583,-2.841007319
"Alabama, Crenshaw County",Doug Jones,1910,6589,1700,28.98770678,25.80057672,-3.187130065
"Alabama, Cullman County",Doug Jones,5693,41735,4478,13.64082904,10.72960345,-2.91122559
"Alabama, Dale County",Doug Jones,5955,19641,5170,30.31923018,26.32248867,-3.99674151
"Alabama, DeKalb County",Doug Jones,5253,29246,4281,17.96143062,14.6378992,-3.323531423
"Alabama, Elmore County",Doug Jones,11399,40918,10367,27.85815534,25.33603793,-2.522117406
"Alabama, Escambia County",Doug Jones,5400,15831,4918,34.11028994,31.06563072,-3.044659213
"Alabama, Etowah County",Doug Jones,13145,47589,11567,27.62192944,24.30603711,-3.315892328
"Alabama, Fayette County",Doug Jones,1651,8751,1395,18.86641527,15.94103531,-2.925379957
"Alabama, Franklin County",Doug Jones,2605,12481,2086,20.87172502,16.71340437,-4.158320647
"Alabama, Geneva County",Doug Jones,2122,12522,1595,16.94617473,12.73758186,-4.208592877
"Alabama, Henry County",Doug Jones,2872,9280,2606,30.94827586,28.08189655,-2.86637931
"Alabama, Houston County",Doug Jones,14494,46033,12917,31.48610779,28.06030456,-3.425803228
"Alabama, Jackson County",Doug Jones,4587,23504,3717,19.51582709,15.81432948,-3.701497617
"Alabama, Lamar County",Doug Jones,1071,7162,978,14.95392349,13.65540352,-1.298519966
"Alabama, Lauderdale County",Doug Jones,13874,44033,11915,31.50818704,27.05925102,-4.448936025
"Alabama, Lawrence County",Doug Jones,4211,15954,3562,26.39463457,22.32668923,-4.067945343
"Alabama, Lee County",Doug Jones,29986,71254,27860,42.08325147,39.09955932,-2.983692144
"Alabama, Limestone County",Doug Jones,15584,49038,13672,31.77943636,27.88041927,-3.899017089
"Alabama, Madison County",Doug Jones,94458,194082,87286,48.66911924,44.97377397,-3.695345266
"Alabama, Marion County",Doug Jones,1847,13760,1463,13.42296512,10.63226744,-2.790697674
"Alabama, Marshall County",Doug Jones,7336,39505,5943,18.56980129,15.04366536,-3.526135932
"Alabama, Mobile County",Doug Jones,86034,182669,79474,47.09830349,43.50710849,-3.591195003
"Alabama, Monroe County",Doug Jones,4719,10641,4455,44.34733578,41.86636594,-2.480969834
"Alabama, Morgan County",Doug Jones,15108,53499,13234,28.23978018,24.73691097,-3.502869213
"Alabama, Pickens County",Doug Jones,4193,9643,4022,43.48231878,41.70901172,-1.773307062
"Alabama, Pike County",Doug Jones,6020,13811,5636,43.58844399,40.80805155,-2.780392441
"Alabama, Randolph County",Doug Jones,2362,10772,2203,21.92721872,20.4511697,-1.476049016
"Alabama, Shelby County",Doug Jones,36606,114678,33268,31.92068226,29.00992344,-2.91075882
"Alabama, St. Clair County",Doug Jones,8844,44346,7744,19.94317413,17.46267984,-2.480494295
"Alabama, Talladega County",Doug Jones,13855,35625,13138,38.89122807,36.87859649,-2.012631579
"Alabama, Tallapoosa County",Doug Jones,6255,20943,5859,29.86678126,27.97593468,-1.890846584
"Alabama, Tuscaloosa County",Doug Jones,40404,89941,37765,44.92278271,41.988637,-2.934145718
"Alabama, Walker County",Doug Jones,5978,31059,4834,19.24723913,15.56392672,-3.683312405
"Alabama, Washington County",Doug Jones,2635,8806,2258,29.92277992,25.64160799,-4.281171928
"Alabama, Winston County",Doug Jones,1302,11230,974,11.59394479,8.673196794,-2.920747996
"Alaska, ED 1",Al Gross,3293,7210,3477,45.67267684,48.22468793,2.552011096
"Alaska, ED 10",Al Gross,2742,11095,2727,24.71383506,24.57863903,-0.135196034
"Alaska, ED 11",Al Gross,3047,10574,3130,28.81596368,29.60090789,0.784944203
"Alaska, ED 12",Al Gross,2824,11126,2957,25.38198814,26.5773863,1.195398166
"Alaska, ED 13",Al Gross,2400,7456,2666,32.1888412,35.75643777,3.567596567
"Alaska, ED 14",Al Gross,3894,11423,4261,34.08911845,37.30193469,3.212816248
"Alaska, ED 15",Al Gross,2449,5370,2622,45.60521415,48.82681564,3.22160149
"Alaska, ED 2",Al Gross,1895,5655,2104,33.51016799,37.20601238,3.695844385
"Alaska, ED 22",Al Gross,4202,9515,4553,44.16184971,47.85076195,3.688912244
"Alaska, ED 23",Al Gross,3638,7707,3810,47.20384066,49.43557805,2.231737382
"Alaska, ED 24",Al Gross,4363,10436,4736,41.80720583,45.38137217,3.574166347
"Alaska, ED 25",Al Gross,4367,9273,4600,47.09371293,49.60638413,2.512671196
"Alaska, ED 26",Al Gross,4172,10090,4558,41.34786918,45.17343905,3.825569871
"Alaska, ED 28",Al Gross,5776,12773,6264,45.22038675,49.04094574,3.820558992
"Alaska, ED 29",Al Gross,2923,10657,2985,27.42798161,28.00975884,0.581777236
"Alaska, ED 3",Al Gross,1810,8294,1903,21.82300458,22.94429708,1.121292501
"Alaska, ED 30",Al Gross,2502,10021,2638,24.96756811,26.32471809,1.357149985
"Alaska, ED 31",Al Gross,5049,12310,5037,41.01543461,40.91795288,-0.097481722
"Alaska, ED 32",Al Gross,3449,8196,3506,42.08150317,42.77696437,0.695461201
"Alaska, ED 36",Al Gross,3679,9179,3796,40.0806188,41.35526746,1.274648655
"Alaska, ED 37",Al Gross,2303,5062,2560,45.49585144,50.57289609,5.077044646
"Alaska, ED 40",Al Gross,1706,4575,2318,37.28961749,50.66666667,13.37704918
"Alaska, ED 5",Al Gross,4104,8637,4204,47.51649878,48.67430821,1.157809425
"Alaska, ED 6",Al Gross,3068,9202,3272,33.34057814,35.5574875,2.216909368
"Alaska, ED 7",Al Gross,2185,9523,2215,22.94445028,23.25947706,0.315026777
"Alaska, ED 8",Al Gross,1980,9820,1953,20.16293279,19.88798371,-0.274949084
"Alaska, ED 9",Al Gross,2786,10904,2769,25.55025679,25.3943507,-0.15590609
"Arizona, Cochise County",Mark Kelly,24843,60086,23732,41.34573778,39.49672137,-1.84901641
"Arizona, Gila County",Mark Kelly,9648,27548,8943,35.02250617,32.46333672,-2.55916945
"Arizona, Graham County",Mark Kelly,4506,14813,4034,30.41922636,27.23283602,-3.186390333
"Arizona, Greenlee County",Mark Kelly,1403,3630,1182,38.65013774,32.56198347,-6.08815427
"Arizona, La Paz County",Mark Kelly,2492,7329,2236,34.00191022,30.5089371,-3.49297312
"Arizona, Mohave County",Mark Kelly,27414,102822,24831,26.66160938,24.14950108,-2.512108304
"Arizona, Navajo County",Mark Kelly,24396,51369,23383,47.49167786,45.5196714,-1.972006463
"Arizona, Pinal County",Mark Kelly,79114,183238,75106,43.17554219,40.98822297,-2.187319224
"Arizona, Yavapai County",Mark Kelly,51852,142089,49602,36.49262082,34.90910626,-1.583514558
"Arizona, Yuma County",Mark Kelly,33961,69120,32210,49.1333912,46.60011574,-2.533275463
"Colorado, Alamosa County",John Hickenlooper,3734,7707,3759,48.44946153,48.77384196,0.324380433
"Colorado, Archuleta County",John Hickenlooper,3591,9019,3738,39.81594412,41.44583657,1.629892449
"Colorado, Baca County",John Hickenlooper,329,2196,317,14.98178506,14.43533698,-0.546448087
"Colorado, Bent County",John Hickenlooper,702,2256,732,31.11702128,32.44680851,1.329787234
"Colorado, Cheyenne County",John Hickenlooper,119,1125,131,10.57777778,11.64444444,1.066666667
"Colorado, Conejos County",John Hickenlooper,1975,4269,1959,46.26376201,45.88896697,-0.374795034
"Colorado, Crowley County",John Hickenlooper,456,1741,437,26.19184377,25.10051694,-1.091326824
"Colorado, Custer County",John Hickenlooper,1059,3594,1112,29.46577629,30.94045632,1.474680022
"Colorado, Delta County",John Hickenlooper,5764,19303,5887,29.86064342,30.49785008,0.637206652
"Colorado, Dolores County",John Hickenlooper,338,1427,341,23.68605466,23.89628591,0.210231254
"Colorado, Douglas County",John Hickenlooper,97553,231559,104653,42.12878791,45.19496111,3.0661732
"Colorado, El Paso County",John Hickenlooper,152126,376880,161941,40.36457228,42.9688495,2.604277224
"Colorado, Elbert County",John Hickenlooper,4257,18957,4490,22.45608482,23.68518225,1.229097431
"Colorado, Fremont County",John Hickenlooper,7201,25359,7369,28.39623014,29.05871683,0.662486691
"Colorado, Garfield County",John Hickenlooper,14999,30787,15427,48.718615,50.10881216,1.390197161
"Colorado, Grand County",John Hickenlooper,4579,9878,4710,46.35553756,47.68171695,1.326179389
"Colorado, Hinsdale County",John Hickenlooper,244,620,255,39.35483871,41.12903226,1.774193548
"Colorado, Huerfano County",John Hickenlooper,2077,4371,2076,47.5177305,47.49485244,-0.02287806
"Colorado, Jackson County",John Hickenlooper,164,867,175,18.91580161,20.18454441,1.268742791
"Colorado, Kiowa County",John Hickenlooper,93,890,98,10.4494382,11.01123596,0.561797753
"Colorado, Kit Carson County",John Hickenlooper,628,3815,662,16.46133683,17.3525557,0.891218873
"Colorado, Las Animas County",John Hickenlooper,3509,7925,3497,44.27760252,44.12618297,-0.151419558
"Colorado, Lincoln County",John Hickenlooper,434,2636,470,16.46433991,17.83004552,1.365705615
"Colorado, Logan County",John Hickenlooper,2117,10481,2218,20.19845435,21.16210285,0.963648507
"Colorado, Mesa County",John Hickenlooper,29478,89200,31536,33.0470852,35.35426009,2.307174888
"Colorado, Mineral County",John Hickenlooper,302,757,317,39.89431968,41.87582563,1.981505945
"Colorado, Moffat County",John Hickenlooper,1120,6810,1203,16.44640235,17.66519824,1.218795888
"Colorado, Montezuma County",John Hickenlooper,5538,15194,5836,36.44859813,38.40989864,1.961300513
"Colorado, Montrose County",John Hickenlooper,7321,24856,7687,29.45365304,30.92613453,1.472481493
"Colorado, Morgan County",John Hickenlooper,3787,13571,3876,27.90509174,28.56090192,0.655810183
"Colorado, Otero County",John Hickenlooper,3428,9367,3605,36.5965624,38.48617487,1.889612469
"Colorado, Park County",John Hickenlooper,4800,12246,4903,39.19647232,40.03756329,0.841090968
"Colorado, Phillips County",John Hickenlooper,463,2471,486,18.7373533,19.66815055,0.930797248
"Colorado, Prowers County",John Hickenlooper,1435,5500,1458,26.09090909,26.50909091,0.418181818
"Colorado, Rio Blanco County",John Hickenlooper,529,3655,561,14.47332421,15.34883721,0.875512996
"Colorado, Rio Grande County",John Hickenlooper,2502,6279,2495,39.84710941,39.73562669,-0.11148272
"Colorado, Sedgwick County",John Hickenlooper,320,1447,301,22.11472011,20.8016586,-1.313061507
"Colorado, Teller County",John Hickenlooper,5039,16761,5278,30.06383867,31.48976791,1.42592924
"Colorado, Washington County",John Hickenlooper,346,2996,369,11.54873164,12.3164219,0.767690254
"Colorado, Weld County",John Hickenlooper,63647,166678,66060,38.18560338,39.63330494,1.447701556
"Colorado, Yuma County",John Hickenlooper,652,4977,785,13.1002612,15.77255375,2.672292546
"Delaware, Sussex County",Christopher Coons,56137,126498,56682,44.37777672,44.80861357,0.430836851
"Georgia, Appling County",Jon Ossoff,1753,8187,1784,21.41199463,21.7906437,0.378649078
"Georgia, Atkinson County",Jon Ossoff,773,3097,825,24.95963836,26.6386826,1.679044236
"Georgia, Bacon County",Jon Ossoff,591,4590,625,12.87581699,13.61655773,0.740740741
"Georgia, Baker County",Jon Ossoff,648,1534,652,42.24250326,42.50325945,0.260756193
"Georgia, Baldwin County",Jon Ossoff,8783,18082,9140,48.57316669,50.54750581,1.974339122
"Georgia, Banks County",Jon Ossoff,899,8725,932,10.30372493,10.68194842,0.378223496
"Georgia, Barrow County",Jon Ossoff,10066,37627,10453,26.75206634,27.78058309,1.028516757
"Georgia, Bartow County",Jon Ossoff,11664,50034,12091,23.31214774,24.16556741,0.853419675
"Georgia, Ben Hill County",Jon Ossoff,2284,6477,2393,35.26323915,36.94611703,1.682877876
"Georgia, Berrien County",Jon Ossoff,1204,7650,1269,15.73856209,16.58823529,0.849673203
"Georgia, Bleckley County",Jon Ossoff,1249,5644,1312,22.12969525,23.24592488,1.116229624
"Georgia, Brantley County",Jon Ossoff,688,7616,700,9.033613445,9.191176471,0.157563025
"Georgia, Brooks County",Jon Ossoff,2607,6976,2791,37.37098624,40.00860092,2.637614679
"Georgia, Bryan County",Jon Ossoff,6497,21163,6738,30.69980627,31.83858621,1.138779946
"Georgia, Bulloch County",Jon Ossoff,10846,29793,11248,36.40452455,37.75383479,1.349310241
"Georgia, Burke County",Jon Ossoff,4989,10560,5208,47.24431818,49.31818182,2.073863636
"Georgia, Butts County",Jon Ossoff,3129,11690,3274,26.76646707,28.00684346,1.24037639
"Georgia, Camden County",Jon Ossoff,7467,23349,7967,31.97995632,34.12137565,2.141419333
"Georgia, Candler County",Jon Ossoff,1233,4370,1269,28.21510297,29.0389016,0.823798627
"Georgia, Carroll County",Jon Ossoff,15549,53973,16236,28.80884887,30.08170752,1.272858652
"Georgia, Catoosa County",Jon Ossoff,6599,32212,6932,20.48615423,21.51993046,1.033776232
"Georgia, Charlton County",Jon Ossoff,1016,4477,1105,22.69376815,24.6817065,1.987938352
"Georgia, Chattahoochee County",Jon Ossoff,636,1548,667,41.08527132,43.0878553,2.002583979
"Georgia, Chattooga County",Jon Ossoff,1886,9938,1854,18.9776615,18.65566512,-0.321996378
"Georgia, Cherokee County",Jon Ossoff,39928,143526,42779,27.8193498,29.80574948,1.986399677
"Georgia, Clinch County",Jon Ossoff,660,2797,744,23.59671076,26.59992849,3.003217733
"Georgia, Coffee County",Jon Ossoff,4281,14991,4511,28.55713428,30.09138817,1.534253886
"Georgia, Colquitt County",Jon Ossoff,3990,15891,4190,25.10855201,26.36712605,1.258574036
"Georgia, Columbia County",Jon Ossoff,27759,79907,29232,34.73913424,36.58252719,1.843392944
"Georgia, Cook County",Jon Ossoff,1963,6972,2059,28.15547906,29.53241538,1.376936317
"Georgia, Coweta County",Jon Ossoff,22915,76122,24210,30.10299256,31.80420903,1.701216468
"Georgia, Crawford County",Jon Ossoff,1561,6026,1615,25.90441421,26.80053103,0.896116827
"Georgia, Crisp County",Jon Ossoff,2809,7980,2982,35.20050125,37.36842105,2.167919799
"Georgia, Dade County",Jon Ossoff,1253,7332,1261,17.08947081,17.19858156,0.109110747
"Georgia, Dawson County",Jon Ossoff,2289,15924,2486,14.37452901,15.61165536,1.23712635
"Georgia, Decatur County",Jon Ossoff,4563,11449,4782,39.85500917,41.76783999,1.912830815
"Georgia, Dodge County",Jon Ossoff,2021,7952,2172,25.41498994,27.3138833,1.89889336
"Georgia, Dooly County",Jon Ossoff,1826,4059,1911,44.98644986,47.08056171,2.09411185
"Georgia, Early County",Jon Ossoff,2232,5105,2450,43.72184133,47.99216454,4.270323213
"Georgia, Echols County",Jon Ossoff,162,1418,167,11.42454161,11.77715092,0.352609309
"Georgia, Effingham County",Jon Ossoff,7627,31319,7718,24.35262939,24.64318784,0.290558447
"Georgia, Elbert County",Jon Ossoff,2717,9075,2879,29.93939394,31.72451791,1.785123967
"Georgia, Emanuel County",Jon Ossoff,2720,9368,2886,29.03501281,30.80700256,1.771989752
"Georgia, Evans County",Jon Ossoff,1251,4191,1324,29.84967788,31.59150561,1.741827726
"Georgia, Fannin County",Jon Ossoff,2415,14686,2570,16.4442326,17.49965954,1.055426937
"Georgia, Fayette County",Jon Ossoff,31477,71470,33062,44.04225549,46.25996922,2.217713726
"Georgia, Floyd County",Jon Ossoff,11480,41288,11917,27.80468901,28.86310792,1.058418911
"Georgia, Forsyth County",Jon Ossoff,39229,128267,42208,30.58386023,32.90635939,2.322499162
"Georgia, Franklin County",Jon Ossoff,1465,10659,1593,13.74425368,14.9451168,1.20086312
"Georgia, Gilmer County",Jon Ossoff,2715,16307,2932,16.64929172,17.98000859,1.33071687
"Georgia, Glascock County",Jon Ossoff,150,1540,155,9.74025974,10.06493506,0.324675325
"Georgia, Glynn County",Jon Ossoff,14938,41468,15882,36.02295746,38.29941159,2.276454133
"Georgia, Gordon County",Jon Ossoff,4182,23766,4384,17.59656652,18.44652024,0.849953715
"Georgia, Grady County",Jon Ossoff,3465,10580,3619,32.75047259,34.20604915,1.45557656
"Georgia, Greene County",Jon Ossoff,3763,11162,4087,33.71259631,36.61530192,2.902705608
"Georgia, Habersham County",Jon Ossoff,3340,20259,3562,16.48649983,17.5823091,1.09580927
"Georgia, Hall County",Jon Ossoff,23487,89787,25033,26.15857529,27.88042812,1.721852829
"Georgia, Haralson County",Jon Ossoff,1764,14135,1791,12.47966042,12.67067563,0.19101521
"Georgia, Harris County",Jon Ossoff,5192,19854,5457,26.15090158,27.48564521,1.334743628
"Georgia, Hart County",Jon Ossoff,2937,12532,3157,23.43600383,25.19150974,1.755505905
"Georgia, Heard County",Jon Ossoff,802,5333,824,15.0384399,15.45096569,0.412525783
"Georgia, Houston County",Jon Ossoff,30955,74162,32239,41.73970497,43.47104986,1.731344894
"Georgia, Irwin County",Jon Ossoff,982,4144,1008,23.6969112,24.32432432,0.627413127
"Georgia, Jackson County",Jon Ossoff,7262,37383,7642,19.42594227,20.4424471,1.016504828
"Georgia, Jasper County",Jon Ossoff,1690,7592,1761,22.26027397,23.19546891,0.935194942
"Georgia, Jeff Davis County",Jon Ossoff,1013,5698,1028,17.77816778,18.04141804,0.263250263
"Georgia, Jenkins County",Jon Ossoff,1194,3400,1266,35.11764706,37.23529412,2.117647059
"Georgia, Johnson County",Jon Ossoff,1158,4034,1222,28.70599901,30.29251363,1.586514626
"Georgia, Jones County",Jon Ossoff,4687,14842,4882,31.57930198,32.89314109,1.313839105
"Georgia, Lamar County",Jon Ossoff,2511,8988,2620,27.93724967,29.14997775,1.212728082
"Georgia, Lanier County",Jon Ossoff,944,3519,1019,26.82580278,28.95709008,2.131287298
"Georgia, Laurens County",Jon Ossoff,7698,22474,8074,34.25291448,35.92595889,1.673044407
"Georgia, Lee County",Jon Ossoff,4424,16559,4558,26.71658917,27.52581678,0.80922761
"Georgia, Lincoln County",Jon Ossoff,1371,4593,1432,29.84977139,31.17787938,1.32810799
"Georgia, Long County",Jon Ossoff,2029,5581,2035,36.35549185,36.46299946,0.107507615
"Georgia, Lowndes County",Jon Ossoff,19124,45772,20116,41.78100149,43.94826532,2.167263829
"Georgia, Lumpkin County",Jon Ossoff,2926,15363,3126,19.04575929,20.34758836,1.30182907
